	margalef
A1-Placa-E2	20.487103280948645
A10-Placa-E2	15.703312667123074
A11-Placa-E2	24.438930309761076
A12-Placa-E2	19.13516245530229
A2-Placa-E2	17.991212525909216
A3-Placa-E1	19.55114424780886
A3-Placa-E2	14.87134908210993
A4-Placa-E2	14.247376393350073
A5-Placa-E2	16.95125804464279
A6-Placa-E2	21.00708052158186
A7-Placa-E2	24.750916654141005
A8-Placa-E2	12.479453775197145
A9-Placa-E2	14.351371841476716
B1-Placa-E2	29.222720923586646
B10-Placa-E2	20.383107832822002
B11-Placa-E2	21.1110759697085
B12-Placa-E2	18.303198870289144
B2-Placa-E1	23.60696672474793
B2-Placa-E2	20.591098729075288
B3-Placa-E1	17.263244389022717
B3-Placa-E2	16.327285355882932
B4-Placa-E2	23.710962172874574
B5-Placa-E2	17.887217077782573
B7-Placa-E2	18.09520797403586
B8-Placa-E2	21.943039554721647
B9-Placa-E2	20.487103280948645
C1-Placa-E1	19.759135144062146
C10-Placa-E2	16.535276252136217
C11-Placa-E2	16.63927170026286
C12-Placa-E2	20.175116936568717
C2-Placa-E1	22.46301679535486
C2-Placa-E2	16.63927170026286
C4-Placa-E2	21.943039554721647
C5-Placa-E2	20.27911238469536
C6-Placa-E2	15.807308115249716
C7-Placa-E2	24.438930309761076
C8-Placa-E2	19.031167007175647
C9-Placa-E2	24.750916654141005
D1-Placa-E1	20.69509417720193
D10-Placa-E2	16.119294459629646
D11-Placa-E2	10.50354026079093
D12-Placa-E2	26.622834720420574
D2-Placa-E1	21.943039554721647
D2-Placa-E2	17.05525349276943
D3-Placa-E2	18.303198870289144
D4-Placa-E2	13.72739915271686
D5-Placa-E2	19.343153351555575
D6-Placa-E2	16.119294459629646
D7-Placa-E2	19.55114424780886
D8-Placa-E2	13.935390048970145
D9-Placa-E2	17.471235285276002
E1-Placa-E1	23.19098493224136
E10-Placa-E2	16.63927170026286
E11-Placa-E2	21.839044106595004
E12-Placa-E2	15.807308115249716
E2-Placa-E1	24.854912102267647
E2-Placa-E2	16.95125804464279
E3-Placa-E2	15.18333542648986
E4-Placa-E2	14.975344530236574
E5-Placa-E2	16.22328990775629
E6-Placa-E2	21.319066865961787
E7-Placa-E2	21.943039554721647
E8-Placa-E2	18.927171559049004
E9-Placa-E2	12.583449223323788
F1-Placa-E1	25.68687568728079
F1-Placa-E2	27.766784649813648
F10-Placa-E2	15.391326322743145
F11-Placa-E2	16.431280804009575
F12-Placa-E2	25.166898446647576
F2-Placa-E1	14.559362737730002
F2-Placa-E2	22.87899858786143
F3-Placa-E2	14.975344530236574
F4-Placa-E2	15.703312667123074
F5-Placa-E2	13.831394600843502
F6-Placa-E2	21.63105321034172
F7-Placa-E2	15.079339978363217
F8-Placa-E2	19.55114424780886
F9-Placa-E2	14.663358185856644
G1-Placa-E1	20.799089625328573
G1-Placa-E2	20.383107832822002
G10-Placa-E2	27.766784649813648
G11-Placa-E2	19.343153351555575
G12-Placa-E2	19.447148799682218
G2-Placa-E1	18.511189766542433
G2-Placa-E2	13.519408256463572
G3-Placa-E2	11.855481086437287
G4-Placa-E2	12.895435567703716
G5-Placa-E2	15.807308115249716
G6-Placa-E2	18.71918066279572
G7-Placa-E2	16.847262596516146
G8-Placa-E2	17.991212525909216
G9-Placa-E2	23.814957621001216
H1-Placa-E1	19.447148799682218
H1-Placa-E2	19.447148799682218
H10-Placa-E2	15.18333542648986
H11-Placa-E2	27.87078009794029
H2-Placa-E1	21.319066865961787
H3-Placa-E2	17.05525349276943
H4-Placa-E2	13.103426463957002
H5-Placa-E2	22.671007691608146
H6-Placa-E2	22.982994035988074
H7-Placa-E2	20.799089625328573
H8-Placa-E2	14.975344530236574
H9-Placa-E2	19.239157903428932
